No input file given, ALL IS LOST. ABANDON SHIP!!!!!!!!!!!!!!!!
Token List:
  >>  Ln:   1	Cl: 1		Type:  MP_PROGRAM		Lex:  program
  >>  Ln:   1	Cl: 9		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   1	Cl: 11		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   3	Cl: 5		Type:  MP_FUNCTION		Lex:  function
  >>  Ln:   3	Cl: 14		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   3	Cl: 16		Type:  MP_COLON		Lex:  :
  >>  Ln:   3	Cl: 18		Type:  MP_BOOLEAN		Lex:  boolean
  >>  Ln:   3	Cl: 25		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   4	Cl: 9		Type:  MP_VAR		Lex:  var
  >>  Ln:   4	Cl: 13		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   4	Cl: 15		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   4	Cl: 17		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   4	Cl: 19		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   4	Cl: 21		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   4	Cl: 23		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   4	Cl: 25		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   4	Cl: 27		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   4	Cl: 29		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   4	Cl: 31		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   4	Cl: 33		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   4	Cl: 35		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   4	Cl: 37		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   4	Cl: 39		Type:  MP_COLON		Lex:  :
  >>  Ln:   4	Cl: 41		Type:  MP_BOOLEAN		Lex:  boolean
  >>  Ln:   4	Cl: 48		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   6	Cl: 8		Type:  MP_FUNCTION		Lex:  function
  >>  Ln:   6	Cl: 17		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   6	Cl: 19		Type:  MP_COLON		Lex:  :
  >>  Ln:   6	Cl: 21		Type:  MP_INTEGER		Lex:  integer
  >>  Ln:   6	Cl: 28		Type:  MP_SCOLON		Lex:  ;
  >>  Ln:   8	Cl: 11		Type:  MP_BEGIN		Lex:  begin
  >>  Ln:   9	Cl: 15		Type:  MP_FOR		Lex:  for
  >>  Ln:   9	Cl: 19		Type:  MP_IDENTIFIER		Lex:  ID
  >>  Ln:   9	Cl: 21		Type:  MP_ASSIGN		Lex:  :=
  >>  Ln:   9	Cl: 24		Type:  MP_FALSE		Lex:  false
  >>  Ln:   9	Cl: 29		Type:  MP_TIMES		Lex:  *
  >>  Ln:   9	Cl: 31		Type:  MP_FALSE		Lex:  false
  >>  Ln:   9	Cl: 37		Type:  MP_DOWNTO		Lex:  downto
  >>  Ln:   9	Cl: 44		Type:  MP_INTEGER_LIT		Lex:  42
  >>  Ln:   9	Cl: 46		Type:  MP_TIMES		Lex:  *
  >>  Ln:   9	Cl: 48		Type:  MP_INTEGER_LIT		Lex:  42
  >>  Ln:   9	Cl: 51		Type:  MP_MOD		Lex:  mod
  >>  Ln:   9	Cl: 55		Type:  MP_INTEGER_LIT		Lex:  42
  >>  Ln:   9	Cl: 58		Type:  MP_DIV		Lex:  div
  >>  Ln:   9	Cl: 62		Type:  MP_FALSE		Lex:  false
  >>  Ln:   9	Cl: 67		Type:  MP_MINUS		Lex:  -
  >>  Ln:   9	Cl: 69		Type:  MP_NOT		Lex:  not
  >>  Ln:   9	Cl: 73		Type:  MP_FIXED_LIT		Lex:  3.14159
  >>  Ln:   9	Cl: 80		Type:  MP_LEQUAL		Lex:  <=
  >>  Ln:   9	Cl: 83		Type:  MP_TRUE		Lex:  true
  >>  Ln:   9	Cl: 88		Type:  MP_DIV		Lex:  div
  >>  Ln:   9	Cl: 92		Type:  MP_FALSE		Lex:  false
  >>  Ln:   9	Cl: 98		Type:  MP_DO		Lex:  do
  >>  Ln:   9	Cl: 101		Type:  MP_WRITELN		Lex:  writeln
  >>  Ln:   9	Cl: 108		Type:  MP_LPAREN		Lex:  (
  >>  Ln:   9	Cl: 110		Type:  MP_FALSE		Lex:  false
  >>  Ln:   9	Cl: 115		Type:  MP_LEQUAL		Lex:  <=
  >>  Ln:   9	Cl: 118		Type:  MP_INTEGER_LIT		Lex:  42
  >>  Ln:   9	Cl: 121		Type:  MP_AND		Lex:  and
  >>  Ln:   9	Cl: 125		Type:  MP_INTEGER_LIT		Lex:  42
  >>  Ln:   9	Cl: 127		Type:  MP_TIMES		Lex:  *
  >>  Ln:   9	Cl: 129		Type:  MP_TRUE		Lex:  true
  >>  Ln:   9	Cl: 133		Type:  MP_COMMA		Lex:  ,
  >>  Ln:   9	Cl: 134		Type:  MP_LPAREN		Lex:  (
  >>  Ln:   9	Cl: 135		Type:  MP_LPAREN		Lex:  (
  >>  Ln:   9	Cl: 137		Type:  MP_FIXED_LIT		Lex:  3.14159
  >>  Ln:   9	Cl: 144		Type:  MP_RPAREN		Lex:  )
  >>  Ln:   9	Cl: 145		Type:  MP_RPAREN		Lex:  )
